voltage_V,force_N,cmd
20.663673469387756,18.117796877551022,0.960509
20.663673469387756,18.560955142857143,0.973977
20.663673469387756,19.004113408163267,0.986617
20.663673469387756,19.447271673469388,0.998201
20.663673469387756,19.89042993877551,1.008477
20.663673469387756,20.333588204081632,1.017182
20.663673469387756,20.776746469387756,1.024044
20.663673469387756,21.21990473469388,1.028794
20.663673469387756,21.663063,1.031172
20.755510204081634,-0.051692,0.050737
20.755510204081634,0.39146626530612244,0.105964
20.755510204081634,0.834624530612245,0.156323
20.755510204081634,1.2777827959183674,0.201993
20.755510204081634,1.7209410612244898,0.243238
20.755510204081634,2.164099326530612,0.280396
20.755510204081634,2.607257591836735,0.313856
20.755510204081634,3.0504158571428572,0.344048
20.755510204081634,3.4935741224489796,0.371418
20.755510204081634,3.936732387755102,0.396418
