time_s,angle_of_attack_deg
2.852793376,83.60276219432357
2.8627933760000004,82.94186947682256
2.872793376,82.65219534881285
2.8827933760000004,82.68742813096871
2.883198535,82.710640896533
2.8832111460000003,82.7339264727036
2.8832373650000003,82.75728140411152
2.883256132,82.78070226896175
2.88328921,82.80418567998494
2.883305419,82.82772828534051
2.883385683,82.85132676947158
2.883400287,82.87497785391226
2.8834217200000003,82.89867829804794
2.883443048,82.92242489982914
2.883459839,82.94621449643942
2.8834760630000003,82.97004396491833
2.892793376,82.99391022273988
2.8965748220000003,83.09818822776981
2.8965796470000003,83.20238976216527
2.89658542,83.306437881626
2.896589862,83.41025901814335
2.9027933760000004,83.51378303911017
2.912793376,84.18816023694048
2.9199826690000004,84.44816533055076
2.9200322200000004,84.70541142272131
2.9227933760000004,84.95948174410495
2.9327933760000002,85.77344206530435
2.9427933760000005,86.58088466524272
2.9527933760000002,87.33896398327664
2.9627933760000005,88.01136443886392
2.967803045,88.04295547021873
2.967816565,88.07447848322373
2.9678316860000002,88.10593188157294
2.9678475900000003,88.13731409747457
2.967861989,88.16862359174968
2.967876098,88.19985885391469
2.967889597,88.23101840224805
2.967947538,88.26210078384139
2.9679982490000003,88.2931045746352
2.968014386,88.32402837943977
2.9680341660000003,88.35487083194134
2.968047748,88.38563059469391
2.968062915,88.41630635909695
2.968077774,88.44689684535957
2.968091225,88.47740080245116
2.968108854,88.50781700803903
2.9681879770000004,88.53814426841336
2.9727933760000003,88.56838141839984
2.973434231,88.6747467482879
2.973446997,88.78004360609738
2.973522769,88.88416778348001
2.9827933760000005,88.98702400088446
2.984940277,89.05381311156674
2.9849733580000004,89.12002585723772
2.9849866840000003,89.18559121649169
2.9927933760000003,89.25044371068923
3.0027933760000005,89.3466352801571
3.0127933760000003,89.26794616026986
3.0227933760000005,89.01220444494824
3.0327933760000003,88.58336863277896
3.0368224440000002,88.28064114553362
3.0427933760000005,87.98968273441211
3.0466018210000003,87.94121164702263
3.0466153,87.89294940829802
3.04665982,87.84489801266346
3.046680653,87.79705939844874
3.0466988290000003,87.74943544791614
3.04671203,87.70202798731849
3.046728813,87.6548387869864
3.046747738,87.60786956144455
3.0468161780000003,87.56112196955588
3.046834177,87.51459761469354
3.046915928,87.46829804493957
3.046945257,87.4222247533098
3.0469602200000003,87.37637917800434
3.046972941,87.33076270268272
3.047049776,87.28537665676335
3.0527933760000003,87.24022231574618
3.05932417,87.08614450871423
3.059430744,86.93371678211294
3.0594395480000003,86.78297880699162
3.0594439380000003,86.63396753086667
3.059468093,86.48671718141826
3.0627933760000006,86.34125927901235
3.063965187,85.98498038278449
3.072086304,85.63529027969015
3.0727933760000004,85.29251502684707
3.079489647,84.8837579589588
3.0795343490000002,84.48025949594708
3.082793376,84.08239069501197
3.0927933760000004,82.68034257955642
3.102793376,81.02422171254393
3.1127933760000004,78.9987114333902
3.1220307380000003,78.80936287408538
3.122049129,78.61827667115345
3.122066632,78.4254361233415
3.122079996,78.23082443061246
3.1220912700000003,78.03442469712382
3.122592906,77.83621993439642
3.122614743,77.63619306467963
3.122627834,77.43432692452022
3.12264071,77.23060426854181
3.122661941,77.02500777344238
3.122679542,76.81752004221708
3.1227105920000002,76.60812360861395
3.122793376,76.39680094183014
3.122912393,75.84914837241531
3.126465532,75.28490517836794
3.131807735,74.70355094873402
3.131818617,74.1045571500589
3.131827774,73.48738860338199
3.1327933760000004,72.85150525179891
3.136014653,71.68207193403403
3.1421167150000002,70.4418315692619
3.142158249,69.12778440529226
3.142793376,67.73740370293675
3.15103012,65.41968615003351
3.1510465670000003,62.91814781176995
3.1527933760000004,60.25880245930831
3.155334137,57.12296489596168
3.155347726,54.08059958521399
3.162793376,51.37160191546569
3.163336706,50.00861539817828
3.1633454320000003,49.071727419254835
3.170133034,48.58910594348874
3.170145759,48.54229739141147
3.1727933760000004,48.87420805111254
3.1827933760000002,55.461451142495314
3.1927933760000005,62.52889440172541
3.2027933760000002,67.34485416874351
3.2030087060000003,67.68428773636589
3.203065312,68.00458110225915
3.203078508,68.30701862691826
3.203093024,68.59278157313939
3.203125032,68.86295698521344
3.2031538200000003,69.1185458821297
3.203190853,69.36047077810477
3.207979687,69.58958255889362
3.2079959380000003,69.80666675118256
3.208018498,70.01244922690441
3.2081219930000002,70.20760138595706
3.2127933760000005,70.39274486054192
3.213987786,71.17740960741033
3.220034372,71.80469918757827
3.2227933760000003,72.30831177332618
3.2327933760000005,73.50402457969444
3.2375720400000003,73.81186139326489
3.237620936,74.04960555407702
3.2427933760000003,74.22991540949528
3.248602538,74.30564440105105
3.248610192,74.37341285685109
3.248616212,74.43377421594342
3.24862174,74.4872321230218
