velocity_mps,Fx_aero_N,Fy_aero_N,Fz_aero_N
0.02417774237107129,-0.5846525305649604,-0.11034145241209513,1.3378346413694548
0.024233228751890948,-0.5821679050011769,-0.116826132667478,1.3367057107539249
0.0242424079713533,-0.5819271179575056,-0.12150203911453726,1.3346179897141457
0.024202778181866072,-0.5808421196759475,-0.12331903411644941,1.3330292499939749
0.02411075977270696,-0.5774172352947966,-0.12180870121137109,1.3327539018991619
0.023961273189807786,-0.5712678327143021,-0.11687871640010031,1.3332942157824592
0.02374856596580295,-0.5626270187523795,-0.10849302959965301,1.333285748549049
0.023468165874799298,-0.5520801118624313,-0.09638852580229218,1.3320704013087628
0.02311800235823639,-0.5402927074091466,-0.08080309854718634,1.3300708166971
0.022697845538336325,-0.5281975095097392,-0.06363275946113853,1.3275267787871199
0.022208661477165697,-0.5170489585139086,-0.0479720626622351,1.3241377900106361
0.021652866632325386,-0.5077579338627486,-0.03638894488119583,1.3201174133540492
0.021034144258902956,-0.5005937937117126,-0.030307802362644007,1.3164629693235197
0.020356222062860824,-0.49579325495295645,-0.030995826503279256,1.3140850850303878
0.01962245415358542,-0.49394902682666764,-0.04021017436920618,1.3134508826585884
0.01883723638020548,-0.49555562011670906,-0.05896636480443228,1.314785100184823
0.018007350565789462,-0.5005973557509478,-0.08578764954793562,1.317897776524027
0.017141337837842986,-0.5088101347979926,-0.11700532806542495,1.3220496009019223
0.016248343834427026,-0.5199036114260709,-0.1484246446191547,1.3262353629988755
0.015338411688130644,-0.5332155884869749,-0.17583325235701608,1.329581826650508
0.01442332877664311,-0.5474508070904962,-0.1950412634348728,1.3316899365454915
0.013517086733130764,-0.5609948514419074,-0.20321925509447764,1.3325503691359204
0.01263650327886126,-0.5723247334462025,-0.20033071150791,1.332027433957844
0.011801698927437411,-0.5801025009797467,-0.18886922918048005,1.3296642291706628
0.011035779767439847,-0.5833321851361406,-0.1724282853996171,1.3249934273048583
0.010364015936556507,-0.5815322175509243,-0.15443675012551467,1.3177624271421537
0.009811884253776331,-0.5745233711028824,-0.13733023777898706,1.3079595290506347
0.009401395173334302,-0.5626357025013126,-0.1219970072790972,1.295971324373427
0.009147314561352503,-0.5472630209666483,-0.10774052154227112,1.282727699624844
0.009054583275481372,-0.5303417671031361,-0.09308842362769615,1.2694572690417354
0.009116790873462741,-0.5135474245011169,-0.07712123705677415,1.25717184537162
