time_s,tilt_angle_deg
5.21,67.62606639842971
5.22,67.68098960833532
5.23,67.73811225168595
5.24,67.79880993742863
5.25,67.86414185948387
5.26,67.93476938366803
5.2700000000000005,68.01086731480635
5.28,68.09201835555393
5.29,68.17715827037131
5.3,68.26474939319243
5.3100000000000005,68.35315092049721
5.32,68.44090352799745
5.33,68.52684827130481
5.34,68.6102018563131
5.3500000000000005,68.69061385627366
5.36,68.76816506595574
5.37,68.84330600589314
5.38,68.91676726035239
5.39,68.98946617143652
5.4,69.0624149158588
5.41,69.13662911856444
5.42,69.2130359987798
5.43,69.2923810015792
5.44,69.37513194725884
5.45,69.46137993357914
5.46,69.55073655104084
5.47,69.64227799005711
5.48,69.73464068156757
5.49,69.82622643967973
5.5,69.91537970825173
5.51,70.00059475105608
5.5200000000000005,70.08077048067359
5.53,70.15532311714882
5.54,70.22412817760964
5.55,70.28742955002039
5.5600000000000005,70.34576382597874
5.57,70.39988738131578
5.58,70.4507050377006
5.59,70.49920273133851
5.6000000000000005,70.54638445012336
5.61,70.59321207714679
5.62,70.64054676191581
5.63,70.68909049321311
5.64,70.73932654176261
5.65,70.79145753917804
5.66,70.8453403741004
5.67,70.90042041102899
5.68,70.95567609574823
5.69,71.00965495676998
5.7,71.06072654930341
5.71,71.10744971517443
5.72,71.1487732696728
5.73,71.18403249537329
5.74,71.21289614182015
5.75,71.23532564271653
5.76,71.25154157159635
5.7700000000000005,71.26199754386069
5.78,71.26736145743601
5.79,71.26850368508696
5.8,71.2664915444652
5.8100000000000005,71.26258904813042
5.82,71.25826052585826
5.83,71.25517361740513
5.84,71.2551361351941
5.8500000000000005,71.2598597074118
5.86,71.27064428665166
5.87,71.28822947488823
5.88,71.31283781427075
5.89,71.34427350004809
5.9,71.38202138554145
5.91,71.42534120036125
5.92,71.47334041550926
5.93,71.52501727372686
5.94,71.57930873419211
5.95,71.63516053993565
5.96,71.69157340233473
5.97,71.74760159961342
5.98,71.80232159177056
5.99,71.8547846172946
6.0,71.90396875619174
