time_w1,velocity_w1,time_w2,velocity_w2
3.320359813,-7.466459069235546,3.560165212,-8.202714348997802
3.391288015,-7.633442552143355,3.623745908,-8.331483154108343
3.465731108,-7.792924472061071,3.687377238,-8.45011602575841
3.533758191,-7.944608970470367,3.757737766,-8.560440839976659
3.5910740160000003,-8.088213048691662,3.826029206,-8.661673619773568
3.665032326,-8.223490080947576,3.889288679,-8.753520555520067
3.717745558,-8.35018846178617,3.955525192,-8.835949139210586
3.78501008,-8.468106986313074,4.026284908,-8.908673810578392
3.852212044,-8.577033328090067,4.093050672,-8.971707322845377
3.921159422,-8.676765867794101,4.162501824,-9.024853058225895
3.997116246,-8.76715098484167,4.240935392,-9.068106882427651
4.05781504,-8.848040241563094,4.288044961,-9.10129761173425
4.118974597,-8.919322912332714,4.355567221,-9.124441999132411
4.185528015,-8.980739836893267,4.429636361,-9.137493196350912
4.261761509,-9.032356261440412,4.497416805,-9.140372946331356
4.319332093,-9.073991086236832,4.555419513,-9.13311449891118
4.397447642,-9.105616601546693,4.634659861,-9.115808813858989
4.465195909,-9.127182781263322,4.688699947,-9.088355750345938
4.524669889,-9.138609302857382,4.7652003910000005,-9.05086269446238
4.593454612,-9.139910566135292,4.82309397,-9.003391957189322
4.656117082,-9.131095299085322,4.894391322,-8.945843483218553
4.727353614,-9.11214385646517,4.963849566,-8.878806870594413
4.784569732,-9.083105665850642,5.027024898,-8.801903391276227
4.854699071,-9.043995704028498,5.098455756,-8.715467524525664
4.92066065,-8.994997243107793,5.156797514,-8.619554479079287
4.994588054,-8.93605303557072,5.236745534,-8.514463646661472
5.055073771,-8.867320295315464,5.306605596,-8.400280168457686
5.131835637,-8.788928065311913,5.362841437,-8.277168099250172
5.1840938770000005,-8.700973823778371,5.422837931,-8.145426787491909
5.254362,-8.603619325355474,5.486052004,-8.005277343075715
5.320705511,-8.497068834798853,5.565231561,-7.856911146088527
5.401419827,-8.381441481925199,5.621185137,-7.70064672720181
5.459619622,-8.256959530942934,5.68748078,-7.536736139147228
5.520230154,-8.123896351283088,5.7567115950000005,-7.365507848577669
5.5844486060000005,-7.982407577182333,5.826964382,-7.187215371033656
5.653287394,-7.832781570389595,5.9035898620000005,-7.002163441703336
5.718556013,-7.675299348498407,5.964748105,-6.810933564210968
5.7845025670000005,-7.510202576322784,6.032711934,-6.613618566306472
5.857426486,-7.337617216173263,6.093793532,-6.410712130640154
5.919841559,-7.158484311675662,6.163770646,-6.20273246000789
5.986034466,-6.972463461960072,6.233867756,-5.989909743388181
6.052355775,-6.780191527302242,6.28422294,-5.772726546529788
6.121434046,-6.582027804813201,6.356193505,-5.551614580771121
6.193115921,-6.378318502162771,6.417400968,-5.327064985872628
6.25269571,-6.169458805641646,6.48611866,-5.099694352100559
6.320483586,-5.955908495045083,6.557502531,-4.869760901640892
6.399849905,-5.738090528268622,6.618096747,-4.63800186728727
6.459891369,-5.516427031525319,6.698900847,-4.404749411010197
6.528648064,-5.291445612808033,6.755558927,-4.170815051517644
6.585203797,-5.063598090897887,6.821226593,-3.93647405773852
6.662749582,-4.83335874164986,6.913145421,-3.70255941727537
6.724593437,-4.601327357497175,6.955557355,-3.46951213610716
6.790312589,-4.3678390120159545,7.031928165,-3.2379069125295974
6.853410072,-4.133835767441823,7.098535415,-3.008593295569418
6.925895586,-3.89959171805848,7.157203943,-2.782161357531423
6.995707577,-3.665729994573408,7.234120369,-2.5584726677035183
7.052994481,-3.4328724609693912,7.29017343,-2.340299188061472
7.117568705,-3.2016610817723548,7.365066409,-2.126397709910665
7.199017863,-2.972728201508792,7.419974731,-1.917973050808387
7.260320348,-2.7467245156954934,7.487586929,-1.7160326282836376
7.316112507,-2.524332883507918,7.554816939,-1.5210922488615997
7.382532186,-2.306219989279274,7.622671332,-1.3341366494072466
7.459012175,-2.093067788702967,7.69611484,-1.1557675604949724
7.532958666,-1.8856952305924428,7.7550395,-0.9868449853036436
7.590426638,-1.684771311734565,7.82112258,-0.8282057917393487
7.650829553,-1.4910669357872894,7.888498384,-0.6807122879334542
7.723524926,-1.3053603935443292,7.959990626,-0.5451713824564607
7.789137273,-1.12843808685085,8.026310725,-0.4224773333837719
7.852370337,-0.961067443763456,8.098009582,-0.3135872009724141
7.917132137,-0.804188028501445,8.153291353,0.0
7.994081078,-0.6585103535390943,8.235401365,0.0
8.048090791,0.0,8.291374063,0.0
8.115492635,0.0,8.355597634,0.0
8.191356282,0.0,8.418657131,0.0
8.2547008,0.0,8.485475643000001,0.0
8.325327026,0.0,8.563830094,0.0
8.382354733,0.0,8.622497148,0.0
8.454421812,0.0,8.685762944,0.0
