time_w1,velocity_w1,time_w2,velocity_w2
1.522774995,0.0,1.572476219,0.0
1.5265861580000002,0.0,1.572480224,0.0
1.532193332,0.0,1.572484568,0.0
1.536408054,0.0,1.572489588,0.0
1.536412416,0.0,1.572494806,0.0
1.541236235,0.0,1.572502297,0.0
1.541240548,0.0,1.572505444,0.0
1.556473653,0.0,1.572518469,0.0
1.556476419,0.0,1.572521926,0.0
1.556478861,0.0,1.572526205,0.0
1.556489298,0.0,1.572528406,0.0
1.560020631,0.0,1.572532806,0.0
1.560042928,0.0,1.5725405490000002,0.0
1.5648949,0.0,1.576992146,0.0
1.568755603,0.0,1.5769998580000002,0.0
1.571465392,0.0,1.57701343,0.0
1.576631511,0.0,1.577019583,0.0
1.5805507040000002,0.0,1.5923211510000002,0.0
1.585141375,0.0,1.592324775,0.0
1.585151022,0.0,1.592330181,0.0
1.590791368,0.0,1.592335613,0.0
1.590808451,0.0,1.592340419,0.0
1.607796768,0.0,1.59234564,0.0
1.607809192,0.0,1.596640305,0.0
1.607816404,0.0,1.596644911,0.0
1.607823054,0.0,1.6024547020000002,0.0
1.6122802420000002,0.0,1.602460144,0.0
1.612284277,0.0,1.606224837,0.0
1.6172514800000002,0.0,1.611049944,0.0
1.621065481,0.0,1.622968511,0.0
1.621122533,0.0,1.622972257,0.0
1.626206191,0.0,1.622975787,0.0
1.6348370490000002,0.0,1.622985777,0.0
1.6348505370000002,0.0,1.628165159,0.0
1.637990477,0.0,1.63334009,0.0
1.638007527,0.0,1.774951268,0.0
1.654182888,0.0,1.774957855,0.0
1.654200162,0.0,1.7749637850000002,0.0
1.654227759,0.0,1.774967927,0.0
1.654239928,0.0,1.774972685,0.0
1.659893532,0.0,1.77499052,0.0
1.6599155840000002,0.0,1.774995426,0.0
1.667492335,0.0,1.774999462,0.0
1.667516605,0.0,1.775005121,0.0
1.67152986,0.0,1.775012719,0.0
1.671561176,0.0,1.775042171,0.0
1.688214146,0.0,1.775081359,0.0
1.688226808,0.0,1.775087532,0.0
1.6882852650000002,0.0,1.775093773,0.0
1.688325067,0.0,1.775103111,0.0
1.698941167,0.0,1.775108775,0.0
1.698977802,0.0,1.7751131990000002,0.0
1.699026071,0.0,1.775119029,0.0
1.702608093,0.0,1.775123364,0.0
1.702633926,0.0,1.775127985,0.0
1.705541803,0.0,1.775133946,0.0
1.709976833,0.0,1.775146069,0.0
1.712708168,0.0,1.775151144,0.0
1.7152892940000002,0.0,1.77516584,0.0
1.720102312,0.0,1.7751712670000002,0.0
1.723897096,0.0,1.775177388,0.0
1.7239507340000002,0.0,1.775183701,0.0
1.727682614,0.0,1.775187961,0.0
1.7327655750000002,0.0,1.775192021,0.0
1.737843687,0.0,1.775218486,0.0
1.743819807,0.0,1.77522861,0.0
1.743858703,0.0,1.775236138,0.0
1.749706753,0.0,1.775243094,0.0
1.749718964,0.0,1.775248371,0.0
1.763543051,0.0,1.77525465,0.0
1.763546437,0.0,1.775259399,0.0
1.763554859,0.0,1.77526427,0.0
1.763558779,0.0,1.775269736,0.0
1.777317466,0.0,1.775274235,0.0
1.777340855,0.0,1.775279257,0.0
1.777346625,0.0,1.775296612,0.0
1.7773599880000002,0.0,1.775300899,0.0
1.7915858720000002,0.0,1.788725266,0.0
1.791603126,0.0,1.788729656,0.0
1.7916161060000002,0.0,1.78873359,0.0
1.7916777540000002,0.0,1.7887528060000002,0.0
1.803165417,0.0,1.788782415,0.0
1.803199996,0.0,1.79567392,0.0
1.803215891,0.0,1.795677435,0.0
1.803304869,0.0,1.806283277,0.0
1.816864994,0.0,1.806312921,0.0
1.816882877,0.0,1.818333828,0.0
1.816900323,0.0,1.818347895,0.0
1.816920155,0.0,1.818370479,0.0
1.822117135,0.0,1.818384943,0.0
1.822207743,0.0,1.823970035,0.0
1.828357108,0.0,1.82402031,0.0
1.83403358,0.0,1.830852869,0.0
1.834133307,0.0,1.830865564,0.0
1.834149125,0.0,1.837391113,0.0
1.837697661,0.0,1.837400164,0.0
1.844317191,0.0,1.837498716,0.0
1.848155996,0.0,1.980673245,0.0
1.848185013,0.0,1.980691711,0.0
1.853963021,0.0,1.980713419,0.0
1.853978406,0.0,1.980733589,0.0
1.870433588,0.0,1.980759418,0.0
1.870444259,0.0,1.980782367,0.0
1.870449552,0.0,1.980802602,0.0
1.870470446,0.0,1.980818957,0.0
1.875541776,0.0,1.980832794,0.0
1.875546307,0.0,1.980902851,0.0
1.879147263,0.0,1.980925687,0.0
1.886159505,0.0,1.980942859,0.0
1.88617088,0.0,1.980965912,0.0
1.896970245,0.0,1.98098912,0.0
1.896985781,0.0,1.981019976,0.0
1.907395569,0.0,1.981090155,0.0
1.90740986,0.0,1.981104617,0.0
1.90742376,0.0,1.981163173,0.0
1.907491233,0.0,1.981178677,0.0
1.914030722,0.0,1.981194856,0.0
1.914058963,0.0,1.981224096,0.0
1.914091417,0.0,1.98130153,0.0
1.920173512,0.0,1.981319037,0.0
1.933666826,0.0,1.981333957,0.0
1.933703696,0.0,1.981350685,0.0
1.933794952,0.0,1.981370775,0.0
1.93382137,0.0,1.981383721,0.0
1.946859156,0.0,1.981396576,0.0
1.946902409,0.0,1.981406418,0.0
1.946923308,0.0,1.98142482,0.0
1.947058587,0.0,1.981440079,0.0
1.961269289,0.0,1.981457109,0.0
1.961293176,0.0,1.981705425,0.0
1.961311684,0.0,1.981732429,0.0
1.961328468,0.0,1.981762848,0.0
1.987589387,0.0,1.981784461,0.0
1.987608236,0.0,1.981809015,0.0
1.987629168,0.0,1.981826047,0.0
1.987639206,0.0,1.981844489,0.0
1.987714008,0.0,1.981860838,0.0
1.987724221,0.0,1.981957938,0.0
1.987733312,0.0,1.986523313,0.0
1.987766235,0.0,1.986529359,0.0
1.987781391,0.0,1.986534216,0.0
1.991409929,0.0,1.986537755,0.0
2.01846707,0.0,1.990650741,0.0
2.018487739,0.0,1.995645722,0.0
2.018507648,0.0,2.00057979,0.0
