time_w1,position_w1,time_w2,position_w2
1.870250122,18.21266754043519,1.983672943,18.064296474715523
1.904685372,18.123231081288598,1.983720077,17.96583959226888
1.964879696,18.030569096431208,1.983780484,17.863788124229238
1.987213239,17.933529218051234,1.983838553,17.7579857386913
2.025876997,17.83298824799888,2.000566581,17.647895887117617
2.040658157,17.728545312909258,2.037217406,17.53381968683004
2.101520202,17.62031110903166,2.194105661,17.415963657883992
2.123550523,17.507574851860326,2.194158431,17.293767063304465
2.13866004,17.391490699248692,2.194209951,17.167859341254772
2.197401238,17.271222875945526,2.194265914,17.037563303860765
2.201924079,17.147313390529668,2.206829449,16.90303103604309
2.238662603,17.020099374140138,2.237730483,16.76435249886602
2.268050572,16.88822387188303,2.337087033,16.62144203869791
2.302837087,16.751979998083783,2.337127078,16.459937696371902
2.333800183,16.612605949913966,2.341138441,16.310290635443096
2.370133706,16.469493578698735,2.374830538,16.156910629575336
2.399428409,16.320830446630733,2.408152067,15.998963841207974
2.443713511,16.16809005016868,2.438102397,15.836622489985494
2.469711753,16.011296807901594,2.517873424,15.670492171422868
2.516610804,15.849898349052916,2.518154259,15.50026754237136
2.535988963,15.685644477066974,2.669011062,15.326166814892028
2.573483227,15.516758994577616,2.669176159,15.148633768297652
2.604959102,15.34474417958301,2.669314656,14.967260799467114
2.633369744,15.168164385108929,2.66947632,14.781856174518008
2.685487765,14.987299531401693,2.81676638,14.59094751190896
2.720394021,14.801978721113883,2.816943513,14.396699189624272
2.743145469,14.6135474233135,2.817185489,14.19828879849265
2.769489812,14.420399751562632,2.817344993,13.996829245814853
2.808698006,14.223589903635991,2.829790248,13.791066637892367
2.847749908,14.022251920880247,2.848372345,13.58035414579088
2.871257548,13.817031157318276,3.012244872,13.367733413448166
2.9283431440000003,13.609209452966066,3.012324665,13.151129175265549
2.942569727,13.397724633822367,3.012381277,12.930387928326027
2.9767395690000003,13.182118176719577,3.012465397,12.706074601791636
3.023648778,12.963416428034206,3.012516943,12.476307360081645
3.050068792,12.74085319690822,3.042553521,12.246130313868388
3.068291558,12.515270271183748,3.070746977,12.011860819244314
3.104213276,12.286050797871718,3.105152624,11.772873958196358
3.135421509,12.05386891482426,3.140140747,11.531163669904544
3.195709533,11.817771981377456,3.17938046,11.286376014581071
3.205097268,11.579054276939344,3.236683842,11.040062554148395
3.240585369,11.337153222592212,3.247011904,10.789349015841156
3.292927928,11.092645602146456,3.271280093,10.536224052187643
3.303940484,10.84358566841315,3.305021708,10.27920348363081
3.334011957,10.59237924603882,3.340155174,10.0198924983094
3.368049984,10.338015505687228,3.370397978,9.758571429101671
3.400649026,10.081841913438296,3.410288385,9.494397552951355
3.437294255,9.822350361086668,3.436320308,9.226434918087982
3.491291205,9.561139868592395,3.477906971,8.957235655093548
3.49957719,9.296719622766156,3.513084416,8.68515612341965
3.544657124,9.03031965839617,3.546196804,8.410912502599793
3.568697921,8.761155953731402,3.572491218,8.131075560920632
3.6000097870000003,8.489648844907396,3.620311522,7.852519138509036
3.634096417,8.215859761517835,3.647452147,7.542820643440713
3.699712667,7.940344306140791,3.678164937,7.2586851648104
3.705206063,7.662174036135951,3.713003679,6.973011043137666
