time_s,motor_avg_rpm,motor1_rpm,motor2_rpm,motor3_rpm,motor4_rpm,pitch_deg,roll_deg,yaw_deg,gps_speed_ms,altitude_rel_m,voltage_V,current_A,power_W
4.821984,12232.142857142857,11871.42857142857,12600.0,12285.714285714286,12171.42857142857,2.0039903151318206,-1.663252695227997,0.015992449089432925,0.59,1.4099999999999997,22.4,24.16923076923077,615.9569395384615
4.842001,12125.0,11642.857142857143,12600.0,11971.42857142857,12285.714285714286,2.055729401638985,-1.6708897715719904,0.01742727714786123,0.59,1.4899999999999998,23.51,25.03846153846154,618.0567378461537
4.862018,12164.285714285714,11871.42857142857,13142.857142857143,11742.857142857143,11900.0,2.0649077766086403,-1.6929310975630065,0.017625872665249138,0.67,1.3199999999999998,23.2,25.407692307692308,620.1895353846154
4.882034,12171.428571428572,11514.285714285714,12914.285714285714,12314.285714285714,11942.857142857143,2.0201372799420247,-1.7069936716933085,0.016211129711361454,0.67,1.23,22.25,30.807692307692307,622.7889206153845
4.902051,12107.142857142859,11128.57142857143,13228.57142857143,12428.57142857143,11642.857142857143,2.050665253995926,-1.7139134890853722,0.017046509998030254,0.67,1.23,22.5,25.0,623.9885204615384
4.922068,12075.0,11014.285714285714,13742.857142857143,12171.42857142857,11371.42857142857,2.0910725453015613,-1.7413405737037775,0.01818763244366431,0.67,1.23,22.85,23.9,625.3976996923076
4.942084,12096.428571428572,10928.57142857143,13642.857142857143,12500.0,11314.285714285714,2.094749858021808,-1.7431679119305505,0.018222158285560897,0.67,1.3199999999999998,22.67,32.36923076923077,627.1908847692307
4.962101,12135.714285714284,10714.285714285714,13785.714285714286,12914.285714285714,11128.57142857143,2.0847510715204938,-1.7469256218435811,0.01783862243585268,0.56,1.3199999999999998,22.27,25.776923076923076,628.5847584615385
4.982118,12128.571428571431,10428.57142857143,13914.285714285714,12985.714285714286,11185.714285714286,2.1265054606252805,-1.7570387339439308,0.019038121600583713,0.56,1.4099999999999997,22.55,26.50769230769231,629.2096461538462
5.002135,12078.571428571428,10371.42857142857,14385.714285714286,12871.42857142857,10685.714285714286,2.132278267623236,-1.755980845596407,0.019139077910588238,0.56,1.4099999999999997,23.14,24.723076923076924,631.12924
5.022151,12132.142857142857,10300.0,14328.57142857143,13471.42857142857,10428.57142857143,2.121229657453506,-1.7472348252004897,0.018724415358513165,0.56,1.23,22.45,26.323076923076922,631.3537041538463
5.042168,11982.142857142857,10128.57142857143,14142.857142857143,13828.57142857143,9828.57142857143,2.1393194584358817,-1.7525065397086257,0.01920354358287708,0.56,1.3199999999999998,23.25,26.876923076923077,631.0585383076923
5.062184,12003.571428571428,10042.857142857143,14571.42857142857,13785.714285714286,9614.285714285714,2.1833480822700513,-1.7610558596168324,0.020478635156422814,0.61,1.4099999999999997,22.51,25.823076923076922,631.9898223076924
5.082201,12067.857142857143,9828.57142857143,14771.42857142857,14100.0,9571.42857142857,2.1557884020062468,-1.7581480751815677,0.01955833275293693,0.61,1.4099999999999997,23.08,33.56153846153846,633.4984753846154
5.102218,12032.142857142859,9542.857142857143,14671.42857142857,14428.57142857143,9485.714285714286,2.1447359462291415,-1.7733309901872814,0.019137951651725185,0.61,1.4099999999999997,22.17,23.43846153846154,634.9877036923077
5.122235,11957.142857142857,9400.0,14671.42857142857,14385.714285714286,9371.42857142857,2.1716706943209076,-1.7834373287170497,0.01989734425119695,0.61,1.23,22.08,28.93076923076923,636.2829855384616
5.142251,11935.714285714286,9314.285714285714,14985.714285714286,14142.857142857143,9300.0,2.1841935429389214,-1.7911490610552103,0.020210243013831067,0.61,1.4899999999999998,21.79,25.361538461538462,637.2377127692307
5.162268,11967.857142857143,9357.142857142857,14928.57142857143,14285.714285714286,9300.0,2.217786118338476,-1.8222961099708284,0.021190514315322328,0.45,1.6699999999999995,21.96,35.3,636.9051890769231
5.182285,12025.0,9114.285714285714,14985.714285714286,14728.57142857143,9271.42857142857,2.200177492687903,-1.837047287228569,0.020545032343280166,0.45,1.4099999999999997,22.05,35.34615384615385,636.503698923077
5.202301,11875.0,9042.857142857143,14828.57142857143,14385.714285714286,9242.857142857143,2.264062220704156,-1.8343071368244988,0.022518782309010024,0.45,1.4099999999999997,22.42,25.130769230769232,637.7572904615384
5.222319,11960.714285714286,9085.714285714286,15257.142857142857,14242.857142857143,9257.142857142857,2.256951449154333,-1.8277873366210018,0.022219640702612807,0.45,1.5799999999999996,22.99,25.0,638.2306775384615
5.242335,11867.857142857143,8971.42857142857,14828.57142857143,14428.57142857143,9242.857142857143,2.2185864937357347,-1.815130820031165,0.02092235017792885,0.45,1.06,22.39,26.138461538461538,640.050712923077
5.262352,11921.42857142857,8871.42857142857,14885.714285714286,14528.57142857143,9400.0,2.2827548784381957,-1.816235253290637,0.022883857582475006,0.41,1.4899999999999998,21.8,34.10769230769231,642.0365612307693
5.282368,11964.285714285714,9114.285714285714,15200.0,13957.142857142857,9585.714285714286,2.3330906902336817,-1.8191352501481344,0.024411279350638762,0.41,1.6699999999999995,22.16,33.92307692307692,642.5393176923078
5.302386,11889.285714285714,9200.0,14728.57142857143,13871.42857142857,9757.142857142857,2.293560865290944,-1.8099594800917522,0.02308966935690128,0.41,1.6699999999999995,22.69,29.3,644.9102976923076
