"Product","Blackbox flight data recorder by Nicholas Sherlock"
144,62190736,-1,0,-2,0,0,0,-2,0,0,-1,0,1,-2,-10,1000,0,0,-2,0,2494,71,240,0,0,0,1,0,0,28,50,2015,164,176,163,158,138,152,150,143,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.044570772579955426,-0.009032787084871064,0.00000622688317442055,-3,-1,-2,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
160,62192738,0,0,-3,0,0,0,0,2,0,-1,0,1,-1,-11,1000,0,0,-2,0,2494,71,240,0,0,0,0,-1,1,28,35,2001,164,171,171,158,137,152,149,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.0421145039403575,-0.009482750481970724,0.000005883956321284245,0,1,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
176,62194740,0,0,-3,0,0,0,0,1,0,0,0,1,-1,-11,1000,0,0,-2,0,2494,71,240,0,0,0,-1,0,0,26,15,1990,158,167,171,158,137,152,150,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03924974392183962,-0.00977998069474828,0.000005483939765404955,0,1,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
192,62196741,1,1,-3,0,0,0,2,1,0,1,0,1,1,-11,1000,0,0,-2,0,2494,71,240,0,-1,0,0,0,0,31,3,1980,159,161,179,158,138,153,150,143,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.036371646994105486,-0.010260964753462137,0.000006352050629487849,3,3,-3,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
208,62198743,0,0,-3,0,0,0,0,0,0,1,0,1,1,-11,1000,0,0,-2,0,2494,71,240,0,0,1,0,0,0,41,1,1979,159,170,173,158,138,152,151,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03382670464739224,-0.011004491126949399,6.2831562914460815,0,1,-3,0,0,-2,0,0,0,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
224,62200745,0,0,-3,0,0,0,0,-1,0,0,0,1,-2,-11,1000,0,0,-2,0,2494,71,240,0,0,0,0,0,0,57,4,1982,158,170,170,159,138,152,151,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03171308277801675,-0.012184586984523144,6.283155919615098,0,-1,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
240,62202746,0,-1,-3,0,0,0,0,-2,0,-1,0,1,-2,-11,1000,0,0,-2,0,2494,71,231,0,0,0,0,1,0,65,16,1995,158,185,170,173,138,153,151,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.030225248812550325,-0.013465430861704904,6.283155657746982,0,-4,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
256,62204748,0,-1,-3,0,0,0,0,-2,0,-2,0,1,-2,-10,1000,0,0,-2,0,2491,303,231,0,1,0,0,1,0,69,31,2004,158,190,169,179,139,153,151,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.02934809089254755,-0.014678318368336864,6.283154477728429,0,-5,-3,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
272,62206749,1,-1,-3,0,0,0,1,-1,0,-2,0,1,-2,-10,1000,0,0,-2,0,2491,303,231,0,1,0,0,0,0,66,48,2013,158,185,173,178,139,153,152,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.029037229371846874,-0.015666618574855188,6.283153419435241,2,-4,-3,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
288,62208751,1,-1,-3,0,0,0,1,0,0,-1,0,1,-2,-11,1000,0,0,-2,0,2491,303,231,0,0,0,0,0,0,53,64,2020,158,178,173,172,139,154,152,144,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.029178736923211393,-0.016233323560684753,6.283153434119451,2,-2,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
304,62210752,1,0,-2,0,0,0,0,3,0,-1,0,1,-2,-11,1000,0,0,-2,0,2491,303,231,0,0,0,0,-1,0,40,73,2016,161,163,174,158,139,155,152,145,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.0295362008448251,-0.01641639111990883,6.283153471845059,1,2,-2,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
320,62212754,0,0,-2,0,0,0,0,3,0,0,0,1,-2,-10,1000,0,0,-2,0,2491,303,231,0,-1,0,0,-1,0,24,77,2017,169,168,179,158,140,155,152,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.029955052073744434,-0.01622973086842898,6.283154562932624,0,3,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
336,62214755,0,1,-2,0,0,0,-1,2,0,0,0,1,-2,-10,1000,0,0,-2,0,2491,303,231,0,-1,0,0,-1,0,15,83,2010,172,169,179,158,140,155,152,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.030478484798354574,-0.015857256162366055,6.2831557012066215,-1,3,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
352,62216757,0,1,-3,0,0,0,-1,2,0,0,0,1,-1,-11,1000,0,0,-2,0,2491,303,231,0,-1,0,0,-1,0,16,86,2004,170,168,180,158,140,155,153,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03102650063038516,-0.015542702147007106,6.283156881710914,-1,3,-3,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
368,62218759,0,0,-3,0,0,0,0,-1,0,0,0,1,-1,-11,1000,0,0,-2,0,2491,303,231,0,0,0,0,0,1,22,86,2000,158,170,168,159,139,155,153,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03153161293161239,-0.015350243720511018,6.283156988185275,0,-1,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
384,62220760,0,0,-3,0,0,0,-1,-3,0,0,0,1,-2,-11,1000,0,0,-2,0,2491,303,231,0,0,0,1,1,1,36,92,1995,158,180,168,165,141,155,152,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03212146435571082,-0.015458700817609312,6.283157112387425,-1,-3,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
400,62222762,0,-1,-3,0,0,0,-1,-3,0,0,0,1,-2,-11,1000,0,0,-2,0,2491,303,231,0,0,1,0,1,1,42,98,1996,158,188,169,172,141,156,153,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.032782242093593435,-0.015676779647957526,6.283122324600919,-1,-4,-3,0,0,-2,0,0,0,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
416,62224764,0,-2,-3,0,0,0,0,-4,0,0,0,0,-2,-10,1000,0,0,-2,0,2496,0,231,0,1,1,0,2,1,48,98,1998,158,198,171,185,141,156,154,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03339304373837777,-0.015957618049954214,6.283086360591475,0,-6,-3,0,0,-2,0,0,-1,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
432,62226765,0,-3,-3,0,0,0,0,-3,0,0,0,0,-2,-10,1000,0,0,-2,0,2496,0,231,0,1,0,0,1,0,48,102,2002,158,192,171,181,141,156,154,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03403111362825986,-0.016214997967088803,6.2830852853620245,0,-6,-3,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
448,62228767,0,-2,-3,0,0,0,0,-1,0,0,0,1,-1,-10,1000,0,0,-2,0,2496,0,231,0,1,0,-1,1,1,41,104,2010,158,182,172,173,141,157,154,146,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03465551894752981,-0.016328221764466345,6.283084163757903,0,-3,-3,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
464,62230768,1,-1,-3,0,0,0,1,1,0,0,0,1,-1,-10,1000,0,0,-2,0,2496,0,231,0,0,0,0,0,0,33,108,2016,158,169,174,163,141,157,154,147,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03530257205750694,-0.01632886448234377,6.28308423391245,2,0,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
480,62232770,1,0,-2,0,0,0,1,3,0,0,0,1,0,-10,1000,0,0,-2,0,2496,0,231,-1,0,0,0,-1,0,20,112,2023,162,160,178,158,142,157,154,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03593553997439054,-0.016113729121382297,6.283084306723886,2,3,-2,0,0,-2,0,1,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
496,62234771,1,1,-2,0,0,0,0,4,0,0,0,1,0,-10,1000,0,0,-2,0,2496,0,231,0,-1,0,0,-1,0,13,110,2027,175,162,185,158,142,157,155,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03652719390411829,-0.015833323626249948,6.283085647004509,1,5,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
512,62236773,1,1,-2,0,0,0,0,2,0,0,0,1,-2,-11,1000,0,0,-2,0,2496,0,231,0,-1,0,0,-1,0,12,108,2029,168,161,179,158,142,157,155,147,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.0370505815607275,-0.015555193068994118,6.283087017061344,1,3,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
528,62238775,0,1,-2,0,0,0,0,1,0,-1,0,1,-2,-11,1000,0,0,-2,0,2496,0,231,0,-1,0,0,0,0,17,100,2027,163,165,171,158,142,157,155,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.037423891348228905,-0.015370220898359675,6.283088391510481,0,1,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
544,62240776,0,0,-2,0,0,0,0,-1,0,-1,0,1,-2,-10,1000,0,0,-2,0,2496,0,231,0,-1,0,0,0,0,21,89,2025,158,173,165,163,143,157,155,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03761626354372452,-0.01525580448732164,6.283089746335963,0,-2,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
560,62242778,0,-1,-2,0,0,0,0,-3,0,-1,0,1,-2,-10,1000,0,0,-2,0,2496,0,231,0,0,0,0,1,0,27,76,2024,158,184,164,175,143,157,156,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03761383241559376,-0.015200384523838635,6.283089745811559,0,-5,-2,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
576,62244780,0,-1,-2,0,0,0,1,-3,0,-1,0,1,-1,-10,1000,0,0,-2,0,2494,0,231,0,0,0,-1,0,0,31,57,2021,158,183,169,180,143,158,156,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03735046561812143,-0.0152040736481017,6.283089680405495,1,-5,-2,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
592,62246781,0,-2,-2,0,0,0,0,-2,0,0,0,1,-1,-10,1000,0,0,-2,0,2494,0,231,0,1,0,0,1,0,32,40,2019,158,183,169,178,143,158,156,147,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.036873031587340906,-0.015187630458440455,6.2830882742290335,0,-4,-2,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
608,62248783,0,-1,-3,0,0,0,0,0,0,0,0,1,-2,-11,1000,0,0,-2,0,2494,0,231,0,1,0,0,0,0,34,29,2015,158,174,171,166,143,158,156,148,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.036277595597697304,-0.015198300134658643,6.283086879677299,0,-1,-3,0,0,-2,0,0,-1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
624,62250784,0,-1,-3,0,0,0,0,1,0,0,0,1,-2,-11,1000,0,0,-2,0,2494,0,231,0,0,0,0,0,0,33,24,2013,158,169,171,159,143,158,156,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03564881213294695,-0.015229203792993267,6.283086767486464,0,0,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
640,62252786,0,0,-3,0,0,0,0,2,0,0,0,1,-2,-11,1000,0,0,-2,0,2494,0,222,0,0,1,0,-1,0,32,24,2013,163,170,177,158,144,159,156,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03505018360195275,-0.015247288210552072,6.283051736736059,0,2,-3,0,0,-2,0,0,0,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
656,62254787,0,0,-3,0,0,0,0,3,0,0,0,1,-2,-11,1000,0,0,-2,0,2494,0,222,0,-1,1,0,-1,0,33,28,2015,169,172,181,158,143,159,156,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03452813331497165,-0.015310388979449623,6.28301794155974,0,3,-3,0,0,-2,0,0,1,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
672,62256789,0,0,-3,0,0,0,0,2,0,0,0,1,-1,-8,1000,0,0,-2,0,2494,0,222,0,-1,1,0,0,1,34,40,2020,168,173,178,158,144,159,156,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03417176804535202,-0.015382322177071394,6.282984133499336,0,2,-3,0,0,-2,0,0,1,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
688,62258790,0,0,-3,0,0,0,0,1,0,0,0,1,-1,-8,1000,0,0,-1,0,2494,0,222,0,0,0,0,0,0,39,52,2024,161,168,171,158,144,159,157,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03397083720364264,-0.015474161148807113,6.2829840826706445,0,1,-3,0,0,-1,0,0,0,-1,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
704,62260792,0,0,-2,0,0,0,0,-1,0,0,0,1,-1,-10,1000,0,0,-1,0,2494,0,222,0,0,0,0,0,0,40,61,2031,158,168,167,161,144,159,157,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03387910718294804,-0.015572033200428385,6.282984059295958,0,-1,-2,0,0,-1,0,0,0,-1,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
720,62262794,0,-1,-2,0,0,0,0,-2,0,0,-1,1,-1,-10,1000,0,0,-2,0,2494,0,222,0,0,0,0,1,0,37,66,2032,158,178,168,167,144,159,157,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03384699491883735,-0.015631811293507072,6.282984051034102,0,-3,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
736,62264795,0,-1,-2,0,0,0,-1,-2,0,0,-1,1,-1,-10,1000,0,0,-2,0,2493,41,222,0,0,0,0,1,0,28,68,2031,158,184,169,169,144,159,158,149,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.03383855896930619,-0.015590483625967778,6.282984049040014,-1,-3,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
752,62266797,0,-1,-2,0,0,0,0,-2,0,0,-1,1,-1,-10,1000,0,0,-2,0,2493,41,222,0,1,0,0,0,0,16,67,2028,158,181,170,169,144,159,157,149,1,7,0,1,1,8,480374398,116407538,5785,14,3193,0.033820808786347654,-0.015388298879227044,6.282982863428846,0,-3,-3,0,0,-2,0,0,-1,-2,0.02224023012922771,578.499999999466,-0.0671202843951022,0.07070898396583286,108.33255653827199
768,62268798,0,-1,-2,0,0,0,0,0,0,0,-1,1,-1,-10,1000,0,0,-2,0,2493,41,222,0,0,0,0,0,0,7,63,2023,158,171,168,160,144,160,157,149,1,7,0,1,1,8,480374398,116407538,5785,14,3193,0.033763466585192144,-0.015133934154395701,6.2829828517839985,0,-1,-3,0,0,-2,0,0,0,-2,0.02224023012922771,578.499999999466,-0.0671202843951022,0.07070898396583286,108.33255653827199
784,62270800,0,0,-2,0,0,0,0,2,0,0,0,1,-1,-10,1000,0,0,-2,0,2493,41,222,0,0,0,0,0,0,5,58,2018,162,165,173,158,144,160,157,149,1,7,0,1,1,8,480374398,116407538,5785,14,3193,0.03365853270791448,-0.014869924140383227,6.28298282984876,0,2,-2,0,0,-2,0,0,0,-2,0.02224023012922771,578.499999999466,-0.0671202843951022,0.07070898396583286,108.33255653827199
800,62272802,1,1,-2,0,0,0,0,3,0,0,0,1,-1,-11,1000,0,0,-2,0,2493,41,222,0,-1,0,0,-1,0,11,55,2012,168,163,181,158,145,160,157,150,1,7,0,1,1,8,480374398,116407538,5785,14,3193,0.033529380235716666,-0.014712224809861571,6.282983973918584,1,4,-2,0,0,-2,0,0,1,-2,0.02224023012922771,578.499999999466,-0.0671202843951022,0.07070898396583286,108.33255653827199
816,62274803,0,1,-3,0,0,0,0,2,0,0,0,1,-1,-11,1000,0,0,-2,0,2493,41,222,0,-1,0,0,-1,1,22,55,2008,166,165,179,158,144,159,158,149,1,7,0,1,1,8,480374398,116407538,5785,14,3193,0.033406520981379785,-0.014671252476510304,6.282985109840757,0,3,-3,0,0,-2,0,0,1,-2,0.02224023012922771,578.499999999466,-0.0671202843951022,0.07070898396583286,108.33255653827199
