t,ax_b,ay_b,az_b,wx_b,wy_b,wz_b,px_w,py_w,pz_w,qx_w,qy_w,qz_w,qw_w,vx_w,vy_w,vz_w,rpm_avg,gx_b,gy_b,gz_b,vx_b,vy_b,vz_b,ax_tot_b,ay_tot_b,az_tot_b,dvx_b_dt,dvy_b_dt,dvz_b_dt,T_total,T_total_corr,F_aero_x_b,F_aero_y_b,F_aero_z_b,F_sum_x_b,F_sum_y_b,F_sum_z_b,F_thrust_x_b,F_thrust_y_b,F_thrust_z_b,V_b,F_aero_mag,F_D_x_b,F_D_y_b,F_D_z_b,F_L_x_b,F_L_y_b,F_L_z_b,F_D_mag,F_L_mag,roll_rad,roll_deg,pitch_rad,pitch_deg,yaw_rad,yaw_deg
2.367563842,-1.4823192975468156,-0.06706136361423284,15.296581714840826,-2.9409936394606135,-1.5527749260729136,-0.7804726329282583,-1.911056179269422,2.101585726660803,1.438284072844289,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9498584180298772,1.6401504827693107,0.11051487650736744,12371.62109375,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.170644877180336,0.2899580876110335,-1.307088412854896,-6.121743342290424,-3.930434948205621,7.564428775397869,-6.254284276238648,-6.31017936368265,5.425667380765237,27.075960154637908,27.075960154637908,-3.705798243867039,-0.16765340903558212,11.165494132464158,-3.705798243867039,-0.16765340903558212,38.241454287102066,0.0,0.0,27.075960154637908,2.550344093337175,11.765598476571467,-7.5712196836754595,-1.0113751924328074,4.559130617702109,3.8654214398084203,0.8437217833972253,6.606363514762049,8.895612360462433,7.700479741177738,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.368059478,-1.54998,-0.00981,15.2055,-2.889,-1.548,-0.807,-1.9101091927534273,2.1023864955073126,1.4383517797365362,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9437850043720224,1.6363508490113525,0.11454676352738093,12374.208287194126,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.166361709811185,0.2917755745482727,-1.300311178786562,-6.189404044743608,-3.8731835845913882,7.473347060557043,-6.206260678704384,-6.351390174854019,5.299546551495128,27.088217347992053,27.088217347992053,-3.8749499999999997,-0.024524999999999998,10.925532652007949,-3.8749499999999997,-0.024524999999999998,38.01375,0.0,0.0,27.088217347992053,2.5434357089017046,11.592372609100211,-7.571068638142361,-1.0197064007519463,4.54436816389028,3.696118638142361,0.9951814007519463,6.381164488117668,8.888878639973482,7.441165179730925,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.368061668,-1.93257,-0.6082200000000001,15.46056,-2.705,-1.429,-1.247,-1.9101050084317275,2.1023900337567007,1.4383520789038564,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9437581685975613,1.6363340600817147,0.11456457868320875,12374.21971887714,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1663427843567415,0.29178360523287294,-1.3002812331357014,-6.571994044743608,-4.471593584591388,7.728407060557042,-6.156561233052582,-6.384250517500635,5.1890522568220465,27.088271513320088,27.088271513320088,-4.831424999999999,-1.5205500000000003,11.563128486679908,-4.831424999999999,-1.5205500000000003,38.651399999999995,0.0,0.0,27.088271513320088,2.543405201076327,12.623814012912,-8.68877062660236,-1.1702860861995676,5.215169762779015,3.85734562660236,-0.35026391380043265,6.347958723900893,10.201093087501201,7.436288056061882,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.369670278,-1.8196546507812745,-0.4679312327888562,15.518728513233889,-2.732903586128867,-1.4296975896532218,-1.1503838330287988,-1.9070315190574814,2.104988966792604,1.4385718248140356,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9240466182982316,1.6240021696230171,0.12765025805125657,12382.616577148438,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.152441562771369,0.29768234475565036,-1.2782854005193065,-6.459078695524882,-4.331304817380245,7.786575573790931,-6.107269663383543,-6.40450726940516,5.091042035638063,27.128071851340845,27.128071851340845,-4.549136626953186,-1.1698280819721405,11.66874943174388,-4.549136626953186,-1.1698280819721405,38.796821283084725,0.0,0.0,27.128071851340845,2.521038084739237,12.578666665942013,-8.485627229845297,-1.1735609710353165,5.039418300487676,3.9364906028921114,0.003732889063176037,6.629331131256204,9.93875503490852,7.7099937385812005,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.369675968,-1.8192552448736516,-0.46743500120665815,15.518934267792362,-2.733002287122318,-1.429700057178058,-1.1500420808389755,-1.9070206474636584,2.1049981597784577,1.4385726021026444,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9239768942997457,1.6239585490706703,0.1276965449173117,12364.290466308594,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.152392391156856,0.2977032098676944,-1.2782075965223227,-6.45867928961726,-4.330808585798047,7.786781328349405,-6.436636371403253,-5.665499344350278,4.492778701117127,27.04124525159032,27.04124525159032,-4.548138112184129,-1.1685875030166453,11.75609041789059,-4.548138112184129,-1.1685875030166453,38.79733566948091,0.0,0.0,27.04124525159032,2.520959116384641,12.659258230770373,-8.5225472817169,-1.1787765522868439,5.061151824345648,3.9744091695327706,0.010189049270198591,6.694938593544942,9.981912848667767,7.785771306359359,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.370720946,-1.7459036830930565,-0.3763012426307668,15.556721435982366,-2.7511288893601322,-1.4301532222340034,-1.0872787205905432,-1.9050240611069151,2.1066864669790797,1.4387153524533989,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9111719655670556,1.6159475618035584,0.13619720514860684,12310.884587196955,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.143361942054936,0.3015351225308213,-1.2639187625751167,-6.385327727836664,-4.239674827222155,7.824568496539409,-6.415285955977551,-5.6051664170175375,4.378430864109497,26.789004688381507,26.789004688381507,-4.364759207732641,-0.940753106576917,12.102798901574406,-4.364759207732641,-0.940753106576917,38.89180358995591,0.0,0.0,26.789004688381507,2.5064745127686017,12.900150410013508,-8.50733803066266,-1.1968399574304058,5.016690809679303,4.1425788229300196,0.2560868508534888,7.086108091895103,9.948588489408033,8.212153655977803,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.370762027,-1.743020028595537,-0.3727185203762731,15.558206954965936,-2.7518414966557225,-1.4301710374163932,-1.0848113178295609,-1.904945569728033,2.106752839044433,1.4387209643678691,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9106685681010156,1.6156326275485595,0.13653138981370203,12308.785053120846,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.143006929911565,0.30168576570619327,-1.263357028655948,-6.382444073339145,-4.236092104967661,7.8260540155229785,-6.392312866038514,-5.535666084744865,4.2779817603606745,26.77911241456631,26.77911241456631,-4.357550071488843,-0.9317963009406828,12.116404972848532,-4.357550071488843,-0.9317963009406828,38.89551738741484,0.0,0.0,26.77911241456631,2.505905821201808,12.909831774196277,-8.506661171939335,-1.1975409661253715,5.014892874101763,4.149111100450492,0.26574466518468876,7.101512098746769,9.947187501924624,8.229047164745282,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.37077047,-1.7424273776152146,-0.371982196431024,15.558512260016405,-2.7519879522774624,-1.4301746988069366,-1.084304215239287,-1.90492892816472,2.106765745458647,1.4387211896810566,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9105651094508904,1.615567902008408,0.136600071713544,12308.353555197118,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1429339675317176,0.30171672601216615,-1.2632415806512851,-6.381851422358823,-4.235355781022412,7.826359320573448,-6.367618644031285,-5.457045819804482,4.19122950595987,26.777079571514143,26.777079571514143,-4.356068444038036,-0.9299554910775599,12.11920107852687,-4.356068444038036,-0.9299554910775599,38.896280650041014,0.0,0.0,26.777079571514143,2.505788950219688,12.911823429953499,-8.506521318914071,-1.197684950158157,5.01452289224111,4.150452874876035,0.2677294590805971,7.104678186285761,9.9468987139603,8.232520286067388,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.370920755,-1.7318782182432395,-0.35887566509008517,15.563946675450454,-2.7545948554058657,-1.4302398713851467,-1.0752778131571905,-1.9046327091261648,2.1069954790202017,1.4387252002451203,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9114802564466378,1.6142659334057683,0.13494786372142625,12300.672912597656,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.142500567445719,0.29960349731484703,-1.2640218603149864,-6.371302262986847,-4.222249249681473,7.831793736007497,-6.341104832412793,-5.369353094472014,4.1179722170018085,26.740907896623867,26.740907896623867,-4.329695545608098,-0.8971891627252129,12.168958792002272,-4.329695545608098,-0.8971891627252129,38.90986668862614,0.0,0.0,26.740907896623867,2.5055582612389347,12.947384677718492,-8.507110112149208,-1.1896192609559144,5.018982637975759,4.17741456654111,0.29243009823070154,7.149976154026513,9.94868348911406,8.286040479399604,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372673577,-1.6088400000000005,-0.20601,15.627330000000002,-2.785,-1.431,-0.97,-1.901177811780471,2.1096749349927264,1.4387719767359408,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.922153908423737,1.599080657363491,0.11567763371073453,12416.224793845093,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.137445683687934,0.2749562354344962,-1.2731225114823503,-6.248264044743609,-4.069383584591388,7.895177060557045,-6.31267297363716,-5.272635381023129,4.058008009580619,27.287662529262253,27.287662529262253,-4.022100000000001,-0.515025,11.780662470737756,-4.022100000000001,-0.515025,39.06832500000001,0.0,0.0,27.287662529262253,2.5030213565536386,12.458994638817131,-8.098212638157051,-1.041735973797411,4.8235222495197085,4.07611263815705,0.526710973797411,6.957140221218047,9.483281534549203,8.080465255574838,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372676064,-1.48131,0.35316,15.391890000000002,-2.955,-1.514,-0.8140000000000001,-1.9011729097826073,2.109678736751835,1.4387720431049917,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.922169052786638,1.5990591116608928,0.11565029205137624,12416.38874519251,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1374385115415855,0.2749212645473779,-1.2731354239854196,-6.120734044743608,-3.5102135845913884,7.6597370605570445,-6.282299487946217,-5.165060710540941,4.0145974017283645,27.2884422029098,27.2884422029098,-3.7032749999999997,0.8828999999999999,11.191282797090203,-3.7032749999999997,0.8828999999999999,38.479725,0.0,0.0,27.2884422029098,2.503017958411,11.821106918561904,-7.478635383035327,-0.9619158097371234,4.45454481043573,3.775360383035327,1.8448158097371232,6.7367379866544725,8.757753061464458,7.939794083884169,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372678465,-1.94238,-0.42183,15.274170000000002,-2.908,-1.501,-0.918,-1.901168177294924,2.109682407046816,1.4387721071790134,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9221836734602682,1.5990383110047093,0.11562389586154632,12416.547027132629,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1374315874067324,0.27488750294707426,-1.2731478899765187,-6.581804044743608,-4.285203584591389,7.542017060557044,-6.252883501248126,-4.971436864497495,4.126148886338445,27.28919492609345,27.28919492609345,-4.85595,-1.054575,10.896230073906551,-4.85595,-1.054575,38.185425,0.0,0.0,27.28919492609345,2.5030146783173692,11.975817661296892,-8.372774867789312,-1.0767929086970385,4.987191505440186,3.516824867789312,0.022217908697038435,5.909038568466365,9.804841715542343,6.876429857839838,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372682529,-1.6480800000000002,-0.95157,15.411510000000002,-2.862,-1.351,-0.866,-1.9011601669534215,2.109688619491133,1.4387722156325007,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9222084208228845,1.5990031032301393,0.11557921692964963,12416.814939587743,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1374198674217073,0.27483035711464876,-1.2731689902629968,-6.287504044743608,-4.814943584591388,7.679357060557044,-6.220932312411213,-4.777007221075631,4.235508357957956,27.290469030006097,27.290469030006097,-4.1202000000000005,-2.378925,11.238305969993906,-4.1202000000000005,-2.378925,38.528775,0.0,0.0,27.290469030006097,2.503009127551894,12.203886809980895,-8.109044585898229,-1.0426644073863285,4.830208731932188,3.988844585898228,-1.3362605926136717,6.4080972380617185,9.496034412140133,7.6655191418635225,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372842853,-1.6000133344261789,-0.6850184909088095,15.38092212190757,-2.8499733113660164,-1.3567906278608068,-0.8644409848067058,-1.9008441605579913,2.1099336991965103,1.4387764941012295,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9231846994065485,1.5976141634540524,0.11381664186142701,12427.384033203125,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1369575163195513,0.2725759652746886,-1.2740013924109364,-6.239437379169787,-4.548392075500198,7.648769182464613,-6.186353967668983,-4.581656007129709,4.342774671676331,27.34075577324154,27.34075577324154,-4.000033336065448,-1.7125462272720238,11.111549531527388,-4.000033336065448,-1.7125462272720238,38.45230530476893,0.0,0.0,27.34075577324154,2.5027913679060543,11.933130949661326,-7.9047507219263915,-1.0082769740765782,4.712617517890633,3.904717385860944,-0.7042692531954455,6.398932013636754,9.257994939628047,7.529219345960543,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.372850834,-1.597620554443491,-0.6717494382775391,15.379399443736768,-2.8493746174587553,-1.3570788878902291,-0.864363376337246,-1.9008284296191305,2.1099458993732063,1.4387767070853053,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9232332989884966,1.5975450214144764,0.11372890009089061,12416.388549804688,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1369345002761255,0.27246374064659334,-1.2740428297599464,-6.237044599187099,-4.535123022868928,7.64724650429381,-6.149056513229899,-4.385267449514315,4.448046682576615,27.288441273732822,27.288441273732822,-3.9940513861087275,-1.6793735956938476,11.160057335609096,-3.9940513861087275,-1.6793735956938476,38.44849860934192,0.0,0.0,27.288441273732822,2.5027805897641606,11.971617346159755,-7.918432834612936,-1.0096172016028881,4.720978848238332,3.924381448504209,-0.6697563940909594,6.4390784873707645,9.274079293146164,7.570407858716114,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.373402386,-1.43226,0.24525,15.274170000000002,-2.8080000000000003,-1.377,-0.859,-1.8997412938227902,2.1107890307924597,1.438791426016871,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9265919253038182,1.5927667442296438,0.10766523024714122,12427.738235954386,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1353439045131926,0.26470810625551694,-1.2769064875373266,-6.071684044743608,-3.6181235845913884,7.542017060557044,-6.1089479953284975,-4.187725775086283,4.551423245758467,27.342441833305365,27.342441833305365,-3.5806500000000003,0.613125,10.842983166694637,-3.5806500000000003,0.613125,38.185425,0.0,0.0,27.342441833305365,2.5020499895033956,11.435351356270093,-7.275256414077937,-0.9018778398287626,4.350503960509125,3.6946064140779367,1.5150028398287625,6.492479206185512,8.524648041940614,7.622180554302443,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.373404698,-1.8639,0.40221,15.127020000000002,-2.83,-1.439,-1.128,-1.8997367367584317,2.1107925650373565,1.438791487715804,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9266060040199513,1.5927467146098604,0.10763981250832766,12427.785811657814,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.135337237041397,0.2646755961264425,-1.27691849144046,-6.503324044743608,-3.461163584591388,7.394867060557044,-6.065936460188382,-3.98891521069831,4.6530032163052795,27.342668304974495,27.342668304974495,-4.65975,1.005525,10.474881695025509,-4.65975,1.005525,37.817550000000004,0.0,0.0,27.342668304974495,2.5020469861421577,11.508583627575787,-7.86550758096949,-0.9749316743591229,4.703524998524789,3.2057575809694905,1.980456674359123,5.77135669650072,9.216281717032354,6.892579228793867,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.374301202,-1.9372351237560483,-0.2997118988078907,15.242260908759505,-2.8518926756516527,-1.4438057092893872,-1.0676616500332499,-1.8979696838061044,2.1121630082410543,1.4388154121708407,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9320651845254893,1.5849800042918665,0.09778379844329067,12446.233825683594,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.132751849872369,0.252069427978859,-1.2815731398726151,-6.576659168499656,-4.163085483399279,7.510107969316548,-5.971049088935184,-4.003234385864001,4.8038941599155045,27.43055553013354,27.43055553013354,-4.843087809390121,-0.7492797470197267,10.675096741765223,-4.843087809390121,-0.7492797470197267,38.10565227189876,0.0,0.0,27.43055553013354,2.500919663343578,11.746259409480263,-8.251565108101385,-0.9752504947323806,4.958375352053099,3.408477298711264,0.2259707477126539,5.7167213897121245,9.675997436572606,6.659555820191311,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
2.375083646,-2.00124,-0.91233,15.34284,-2.871,-1.448,-1.015,-1.8964274486568677,2.1133590933249744,1.438836292776278,0.2617563576597296,-0.1933601523033405,0.2249329335838924,0.9184229070070524,1.9368298069158827,1.5782014334343404,0.08918174081821831,12393.698890610493,-4.639424044743608,-3.8633735845913884,-7.732152939442957,2.1304953951570704,0.24106711161432198,-1.285635588827501,-6.640664044743608,-4.775703584591389,7.610687060557043,-5.968072210762405,-3.9394188048269103,4.904621335267955,27.180645470750893,27.180645470750893,-5.0031,-2.280825,11.17645452924911,-5.0031,-2.280825,38.3571,0.0,0.0,27.180645470750893,2.4999965696671245,12.455774088148756,-8.718952287897123,-0.9865558259943974,5.261403232360938,3.715852287897123,-1.2942691740056027,5.915051296888172,10.231118480886051,7.104260888021348,0.46336791840838726,26.549026086562876,-0.4926109826766306,-28.224530249163045,0.36188204416463976,20.734313812200718
